Item ID,Item Name,SKU,HSN/SAC,Description,Rate,Account,Account Code,Taxable,Exemption Reason,Taxability Type,Product Type,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory
2106585000000073690,CRESTA DRY FRUIT BOX,,3924,,INR 116.50,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 80.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073699,Jumbo Blender,,,,INR 0.00,,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,,,INR 65.00,Cost of Goods Sold,,,,,,,,,,,Purchases,false,true,false
2106585000000073708,WELCOME TRAY SET BLACK,,3924,,INR 174.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 123.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073717,WELCOME TRAY SET WHITE,,3924,,INR 163.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 112.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073726,WALL MOUNTAIN STAND,,3924,,INR 95.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 65.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073735,SS PIZZA CUTTER,,3924,,INR 47.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 32.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073744,4PCS DINING SET SQURE,,3924,,INR 93.50,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 64.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073753,DELUXE TEA STAINER,,3924,,INR 42.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 28.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073762,COCONUT OPENER MINI,,3924,,INR 30.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 20.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073771,POP COFFEE MUG,,3924,,INR 78.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 54.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073780,HAPPY TIME MUG,,3924,,INR 116.12,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 80.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073789,coffee mug,,,,INR 66.93,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,,,INR 46.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073798,ROTATION TRAY,,,,INR 61.11,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,,,INR 42.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073807,MAGIC MASALA BOX,,,,INR 66.94,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,,,INR 46.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000073911,4IN 1 SLICER & GRATER,,3924,,INR 65.47,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 45.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000075732,CAMERA LENS COFFEE MUG,,3924,,INR 142.59,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,2,,,Active,pcs,Pieces,INR 98.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000076421,PUSH CHOPPER 1000ML,,3924,,INR 137.89,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,2,,,Active,pcs,Pieces,INR 95.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
