item_code,item_name,item_group,brand,stock_uom,hsn_code,valuation_rate,standard_rate,description
315235-TIBROSMATT,TIBROS Matt series- Canvas (M) 31.5*23.5,Crockery,TIBROS,PCS,3924,0,0,TIBROS Matt series- Canvas (M) 31.5*23.5
2518-TIBROSMATT,TIBROS Matt series- Canvas (S) 25*18,Crockery,TIBROS,PCS,3924,0,0,TIBROS Matt series- Canvas (S) 25*18
TRAY-TIBROSMUGW,TIBROS- MUG WITH TRAY,Crockery,TIBROS,BOX,6911,0,0,TIBROS- MUG WITH TRAY
PCS-TIBROSPEAR,TIBROS Pearl Series-Dining set (31 pcs),Crockery,TIBROS,BOX,3924,0,0,TIBROS Pearl Series-Dining set (31 pcs)
PCS-TIBROSSMAR,TIBROS Smart Series - Dining Set (32 pcs),Crockery,TIBROS,BOX,3924,0,0,TIBROS Smart Series - Dining Set (32 pcs)
SET-TIBROSTBMU,TIBROS TB Mug - Studio Series - small 4 pcs set,Crockery,TIBROS,Pack,6911,0,0,TIBROS TB Mug - Studio Series - small 4 pcs set
SET-TIBROSTBMU-002,TIBROS TB Mug - Studio Series - small 6pcs set,Crockery,TIBROS,BOX,6911,0,0,TIBROS TB Mug - Studio Series - small 6pcs set
SET-TIBROSTBNE,TIBROS Tb- New Gold Line Mug 6pcs set,Crockery,TIBROS,BOX,6911,0,0,TIBROS Tb- New Gold Line Mug 6pcs set
PCS-TIBROSTBST,TIBROS TB Stoneware 1110 Mug - 1 Pcs,Crockery,TIBROS,BOX,6911,0,0,TIBROS TB Stoneware 1110 Mug - 1 Pcs
PCS-TIBROSTBST-002,TIBROS TB Stoneware 1110 Sparkle Mug -1 Pcs,Crockery,TIBROS,BOX,6911,0,0,TIBROS TB Stoneware 1110 Sparkle Mug -1 Pcs
1PCS-TIBROSTBST,TIBROS TB Stoneware 1143 Mug 1pcs,Crockery,TIBROS,BOX,6911,0,0,TIBROS TB Stoneware 1143 Mug 1pcs
MUGBLACK-TIBROSTBAR,TIBROS Tb-Arabica Mug-Black,Crockery,TIBROS,BOX,6911,0,0,TIBROS Tb-Arabica Mug-Black
MUG-TIBROSTBSP,TIBROS Tb-Splash Series Mug,Crockery,TIBROS,BOX,6911,0,0,TIBROS Tb-Splash Series Mug
PCS-TIBROSURMI,TIBROS Urmi Series - Dining Set (37 pcs) 37 Pcs,Crockery,TIBROS,BOX,3924,0,0,TIBROS Urmi Series - Dining Set (37 pcs) 37 Pcs
CONE-TIBROSTBMU,TIBROS-TB- MUG CONE,Crockery,TIBROS,BOX,6911,0,0,TIBROS-TB- MUG CONE
28CL-TIBROSTBPR,TIBROS-TB- Procelain 28CL,Crockery,TIBROS,Pack,6911,0,0,TIBROS-TB- Procelain 28CL
