Item Code,Item Name,Standard Rate,Image Name
M01412,"Mop Road Set",199.00,M01412.jpg
M01401,"Mop S.S. Jali With Well (prakash)",899.00,M01401.jpg
M01400,"Mop Plastic Jali With Well (prakash)",799.00,M01400.jpg
M01341,"Mop S.S.Jali Ekta",999.00,M01341.jpg
M01340,"Mop Pla.Jali Ekta",999.00,M01340.jpg
M00390,"Kotak Mop Yarn.",199.00,M00390.jpg
M00389,"Bottle Mop Yarn.",199.00,M00389.jpg
M00385,"Wiper Mop Without Road [16 Inch]..",199.00,M00385.jpg
M00388,"6Inch Clip Mop Yarn.",199.00,M00388.jpg
M00387,"9Inch Clip Mop Yarn.",199.00,M00387.jpg
M00190,"Filter Candle Regular Plastic Cap",199.00,M00190.jpg
M00409,"Button Candle",199.00,M00409.jpg
M01921,"Button Candle Plastic Cap",99.00,M01921.jpg
M00085,"Candle Water Filter Regular",999.00,M00085.jpg
M00214,"Filter Candle Low-Height Plastic Cap",199.00,M00214.jpg
M01519,"Study Table With Chair Big Size",3999.00,M01519.jpg
M01707,"Chair Colorful Portable Telescopic",999.00,M01707.jpg
M00114,"Foldable Tool 18inch",599.00,M00114.jpg
M00112,"Foldable Chair",499.00,M00112.jpg
M00113,"Foldable Tool 12 inch",499.00,M00113.jpg
M00601,"Chilly Cutter Plastic Round With Dabbi",99.00,M00601.jpg
M00043,"chilly cutter plastic (red/yello)",199.00,M00043.jpg
M00006,"Chilly Cutter S.S. With Lid",199.00,M00006.jpg
M00003,"Mudra Chilly Cutter Stainless Steel",199.00,M00003.jpg
M01951,"Chilly Cutter Plastic",199.00,M01951.jpg
M00829,"CHILLY CUTTER SQUARE PLASTIC PREMIUM TRANPARENT",184.70,M00829.jpg
M01556,"Chilly Cutter Glamaxy",149.00,M01556.jpg
M00108,"Chilly Cutter Round With Lid(A)",199.00,M00108.jpg
M00364,"CHILLY CUTTER M.S.",199.00,M00364.jpg
M00035,"Chilly Cutter Plastic Deluxe(polypack)",199.00,M00035.jpg
M00019,"Quick Chopper 2 In 1 450ml Heavy [F]",64.00,M00019.jpg
M02095,"Push Chopper Solta 1000ml",299.00,M02095.jpg
M00089,"2 In 1 Veg Cutter With Peeler – N028",199.00,M00089.jpg
M00154,"Veg Cutter With Peeler [heavy]",299.00,M00154.jpg
M00096,"Sweet Corn Cutter JUMBO [Blister Pack] – R007",199.00,M00096.jpg
M00090,"Apple Cutter SMALL [Blister Pack]",199.00,M00090.jpg
M01124,"DRY FRUIT CUTTER ROUND",99.00,M01124.jpg
M00320,"Vegetable Chopper – R012",199.00,M00320.jpg
M01941,"Quick Chopper 450ml – LIGHT | Vegetable Cutter",199.00,M01941.jpg
M00145,"Quick Chopper 2 In 1 500ml [B]",199.00,M00145.jpg
M00353,"Push Chopper 650ml 2In1 Twister [R]",499.00,M00353.jpg
M00522,"Garliq Cutter.",199.00,M00522.jpg
M00160,"Chopper 2 In 1 450ml (R)",199.00,M00160.jpg
M01161,"PUSH CHOPPER 500ml [F]",199.00,M01161.jpg
M02063,"Quick(Handy) Chopper 2 In 1 550ml MEGA",199.00,M02063.jpg
M01942,"QUICK CHOPPER 950ML LIGHT",199.00,M01942.jpg
M01600,"Chopper Easy 700 Ml Heavy",180.00,M01600.jpg
M00026,"Quick Chopper(2 In 1 450Ml).",499.00,M00026.jpg
M01165,"PUSH CHOPPER 650ml [F]",199.00,M01165.jpg
M01423,"Push Chopper Real 650 Ml",149.00,M01423.jpg
M00158,"Vegetable Chopper 450ml(K)",999.00,M00158.jpg
M00861,"GARLIC CUTTER",386.94,M00861.jpg
M00138,"Quick Chopper 2 In 1 (1000ml) – (F)",199.00,M00138.jpg
M02064,"Quick(Handy) Chopper 2 In 1 950ml MEGA",249.00,M02064.jpg
M00351,"EASY PUSH CHOPPER (1100ML) ROYAL",179.00,M00351.jpg
M00348,"Push Chopper 700ml 2 in 1 (F)",499.00,M00348.jpg
M01602,"Push Chopper 700 Ml (radhe)",249.00,M01602.jpg
M01601,"Chopper Easy 1100 Ml Heavy",149.00,M01601.jpg
M01718,"Push Chopper 800 Ml.",299.00,M01718.jpg
M00778,"Push Chopper 1100ml 2 In 1 [6 Blades]",178.92,M00778.jpg
M01720,"Push Chopper 1100 Ml. (f)",199.00,M01720.jpg
M01603,"Push Chopper 1100 Ml (radhe)",249.00,M01603.jpg
M01943,"Push Chopper Insta 2 In 1 (800ML)",299.00,M01943.jpg
M01944,"Push Chopper Insta 2 In 1 (1200 ML)",299.00,M01944.jpg
M01719,"Push Chopper 1200 Ml.",299.00,M01719.jpg
M00577,"Push And Chop Chopper (1000ml)",499.00,M00577.jpg
M00517,"Push Chopper 950ml Light",199.00,M00517.jpg
M00038,"Wafer Maker S.S.",999.00,M00038.jpg
M015," (+gst)",499.00,M015.jpg
M00381,"CHOPPING BOARD MAGIC NO 2",149.00,M00381.jpg
M00148,"CHOPPING BOARD ROUND WOODEN",299.00,M00148.jpg
M00382,"CHOPPING BOARD MAGIC NO 3",249.00,M00382.jpg
M02073,"Chopping Board Trio 8.5*11cm",250.00,M02073.jpg
M002," (+gst)",199.00,M002.jpg
M01303,"CUT N CHOP PLASTIC GE105",199.00,M01303.jpg
M00053,"CHOPPING BOARD [WHITE] No.2 [BOX]",499.00,M00053.jpg
M02069,"Chopping Board Plastic",300.00,M02069.jpg
M01304,"CUT N CHOP PLATE SMALL GE105",199.00,M01304.jpg
M00023,"Cut -N- Chop (Deluxe).",499.00,M00023.jpg
M01305,"CUT N CHOP PLATE MEDIAM GE105",299.00,M01305.jpg
M01945,"Chopping Board S.S. No.1 (8×12 Inch 450gm)",399.00,M01945.jpg
M01306,"CUT N CHOP PLATE LARGE GE105",299.00,M01306.jpg
M01946,"Chopping Board S.S. No.2 (10×14 Inch 670gm)",399.00,M01946.jpg
M00047,"BIG Size Commercial Wooden Chopping Board [18.5 X 11.45 Inches] 18mm Thickness",499.00,M00047.jpg
M01440,"Chopping Board Large Plastic (r.K.)(15MM)",499.00,M01440.jpg
M01947,"Chopping Board S.S. No.3 (16.5×11.5×1 Inch 950gm)",599.00,M01947.jpg
M011," (+gst)",199.00,M011.jpg
M014," (+gst)",199.00,M014.jpg
M012," (+gst)",499.00,M012.jpg
M00055,"CHOPPING BOARD [WHITE] No.3 [BOX]",499.00,M00055.jpg
M00501,"Cloth Rack Foldable S.S.",1999.00,M00501.jpg
M00703,"Cloth Drying Stand [Heavy] [EMP]",2599.00,M00703.jpg
M00399,"Cloth Rack Cute 3 Layer With Stainless Steel Pipe.",2000.00,M00399.jpg
M00015,"Cloth Rack Snezy 2 Layer With Stainless Steel Pipe.",2000.00,M00015.jpg
M00468,"Cloth Rack Foldable Octopus",3599.00,M00468.jpg
M00470,"Cloth Rack ButterFly 1 Layer S.S.",2599.00,M00470.jpg
M01578,"Cloth Rack S.S (g)",6999.00,M01578.jpg
M00478,"Cloth Rack ButterFly 2 Layer S.S.",4999.00,M00478.jpg
M00549,"Cutlery Set Star Wire",834.00,M00549.jpg
M00084,"Cutlery Set FLORA – 24pcs Set",499.00,M00084.jpg
M01700,"Ice-cream Spoon (12 Pcs. Set)",299.00,M01700.jpg
M01702,"Catering Spoon (12 Pcs. Set)",199.00,M01702.jpg
M01701,"Regular Spoon (12 Pcs. Set)",299.00,M01701.jpg
M01699,"Tea Spoon (12 Pcs. Set)",299.00,M01699.jpg
M01698,"Soup Spoon (12 Pcs. Set)",299.00,M01698.jpg
M01697,"Fruit Fork S.S. big (12pcs Set)",299.00,M01697.jpg
M01696,"Fruit Fork S.S. small (12pcs Set)",299.00,M01696.jpg
M01126,"ICE CREAM SCOOP S.S. WITH PLASTIC HANDLE",199.00,M01126.jpg
M00061,"Masuring Cup & Spoon Set Plastic",199.00,M00061.jpg
M00324,"Kitchen Tong Regular.",199.00,M00324.jpg
M01854,"Cutlery Set – LIGHT",599.00,M01854.jpg
M00550,"Cutlery Set Flora Wire",499.00,M00550.jpg
M00139,"Cutlery Set S.S (Rushit)",599.00,M00139.jpg
M00545,"Cutlery Set Star.",499.00,M00545.jpg
M00544,"Cutlery Set Royal.",999.00,M00544.jpg
M00543,"Cutlery Set Swastik Royal.",999.00,M00543.jpg
M00552,"Cutlery Set S.S Regular Wire",999.00,M00552.jpg
M00548,"Cutlery Set Royal Wire",999.00,M00548.jpg
M00542,"Cutlery Set VIVO.",999.00,M00542.jpg
M00083,"Pure Stainless Steel Cutlery Set [24Pcs Set] -E070",999.00,M00083.jpg
M00551,"Cutlery Set Daimond Wire",999.00,M00551.jpg
M00546,"Cutlery Set Diamond.",999.00,M00546.jpg
M00547,"Cutlery Set SS Regular.",999.00,M00547.jpg
M00346,"CUTLLERY SET OPPO",599.00,M00346.jpg
M00704,"Cutlery Set Vivo Antic",699.00,M00704.jpg
M00144,"Cutlery Set SS Prima",1599.00,M00144.jpg
M02089,"Veg Cutter With Peeler (VIRGIN Model)",99.00,M02089.jpg
M01940,"Apple Cutter Steel – LIGHT",49.00,M01940.jpg
M00095,"Sweet Corn Cutter [Blister Pack] – R005",199.00,M00095.jpg
M00631,"PIZZA CUTTER KRANJI SMALL",59.00,M00631.jpg
M00626,"PIZZA CUTTER [S]",99.00,M00626.jpg
M00627,"PIZZA CUTTER KRANJI BIG",59.00,M00627.jpg
M00121,"PIZZA CUTTER ULTRA.",999.00,M00121.jpg
M00263,"PIZZA CUTTER PLA. RAGULAR [BLISTER] T007",99.00,M00263.jpg
M00264,"PASTRY WHEEL CUTTER PLA [BLISTER] T008",99.00,M00264.jpg
M00149,"Veg Cutter With Peeler – DELUXE",99.00,M00149.jpg
M01535,"Corn Cutter S.S.",99.00,M01535.jpg
M00086,"Stainless Steel Apple Cutter [Box Packing] -R004",199.00,M00086.jpg
M00246,"Pastry Wheel Pizza Cutter Plastic Handle ABS [Blister Packing] – T004",199.00,M00246.jpg
M00245,"Pastry Wheel Cutter Plastic Handle – T003",199.00,M00245.jpg
M00325,"Apple Cutter.",199.00,M00325.jpg
M01927,"Sickle S.S. 2 In 1 Small (Plastic Handle)",99.00,M01927.jpg
M01928,"Sickle S.S. Big (Plastic Handle)",99.00,M01928.jpg
